AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
TSLA
META
AVGO
PEP
COST
ASML
AZN
ADBE
CSCO
TMUS
CMCSA
INTC
AMD
QCOM
TXN
INTU
AMGN
HON
AMAT
BKNG
SBUX
ISRG
MDLZ
ADP
GILD
ADI
LRCX
VRTX
REGN
CSX
NFLX
MELI
MU
PANW
SNPS
CDNS
CHTR
MAR
KLAC
ORLY
CTAS
AEP
FTNT
EXC
PAYX
MNST
KDP
DXCM
PCAR
MCHP
ROP
ADSK
CPRT
LULU
FAST
IDXX
ROST
ODFL
BIIB
CSGP
XEL
WBD
DLTR
GEHC
KHC
CTSH
EA
EBAY
VRSK
CRWD
WDAY
TEAM
DDOG
MRVL
ON
SIRI
ILMN
ALGN
CEG
PYPL
ZM

Blacklist:
KDP
CDNS
DLTR
