ROG.SW
NOVN.SW
NESN.SW
ABBN.SW
UBSG.SW
CFR.SW
ZURN.SW
SREN.SW
SCMN.SW
LONN.SW
GIVN.SW
SLHN.SW
SIKA.SW
GEBN.SW
SGSN.SW
BAER.SW
UHR.SW
ADEN.SW
