HSBA.L
AZN.L
SHEL.L
RIO.L
RR.L
ULVR.L
BATS.L
BP.L
GSK.L
GLEN.L
NG.L
BARC.L
LLOY.L
BA.L
CPG.L
NWG.L
LSEG.L
REL.L
STAN.L
AAL.L
ANTO.L
DGE.L
CCEP.L
SSE.L
RKT.L
TSCO.L
HLN.L
PRU.L
VOD.L
III.L
